callsign,contour_type,area,filename,lat,lon,frequency,power,region,state,city,owner
KFST,day_0.5,1.3845625148387626,KFST_0.5_D_as1.kml,30.8771111111111,-102.892111111111,860.0,0.25,Gulf Coast,TX,FORT STOCKTON,"FORT STOCKTON RADIO CO, INC."
WTSV,day_2,0.048762219375930727,WTSV_2_D_as3.kml,43.3708333333333,-72.3283333333333,1230.0,1.0,Northeast,NH,CLAREMONT,"Great Eastern Radio, LLC"
KMZN,day_2,0.7113812864990905,KMZN_2_D_as1.kml,41.3208333333333,-92.64575,740.0,0.01,Plains,IA,OSKALOOSA,JOMAST CORPORATION
WNAX,day_2,10.159224484814331,WNAX_2_D_as1.kml,42.9130555555556,-97.3161111111111,570.0,5.0,Upper Midwest,SD,YANKTON,"SAGA COMMUNICATIONS OF SOUTH DAKOTA, LLC"
WTCW,night_2,0.2816693091299385,WTCW_2_N_as1.kml,37.1462222222222,-82.7668333333333,920.0,0.043,Mid-South,KY,WHITESBURG,"T.C.W. BROADCASTING , INC."
KBUL,night_2,1.28621506690979,KBUL_2_N_as1.kml,45.7430555555556,-108.543333333333,970.0,5.0,Rockies,MT,BILLINGS,"Townsquare License, LLC"
KRDZ,night_2,1.0121066276915371,KRDZ_2_N_as1.kml,40.0822222222222,-102.190277777778,1440.0,0.21,Rockies,CO,WRAY,"MEDIA LOGIC, LLC"
WKVA,night_2,0.1597663217689842,WKVA_2_N_as1.kml,40.57925,-77.5713888888889,920.0,0.5,Great Lakes,PA,LEWISTOWN,"WVNW,  INC."
WOLB,night_2,0.1869828711496666,WOLB_2_N_as1.kml,39.3017777777778,-76.5688611111111,1010.0,0.25,Mid-Atlantic,MD,BALTIMORE,"RADIO ONE LICENSES, LLC"
KWST,night_2,0.3677964942762628,KWST_2_N_as1.kml,32.8075,-115.538333333333,1430.0,1.0,California,CA,EL CENTRO,El Sembrador Ministries
WKY,day_0.5,15.34427500818856,WKY_0.5_D_as1.kml,35.562,-97.5069722222222,930.0,5.0,Plains,OK,OKLAHOMA CITY,"RADIO LICENSE HOLDING CBC, LLC"
